idMao,jogadorMao,cartaAltaRobo,cartaMediaRobo,cartaBaixaRobo,cartaAltaHumano,cartaMediaHumano,cartaBaixaHumano,primeiraCartaRobo,primeiraCartaHumano,segundaCartaRobo,segundaCartaHumano,terceiraCartaRobo,terceiraCartaHumano,ganhadorPrimeiraRodada,ganhadorSegundaRodada,ganhadorTerceiraRodada,quemPediuEnvido,quemPediuFaltaEnvido,quemPediuRealEnvido,pontosEnvidoRobo,pontosEnvidoHumano,quemNegouEnvido,quemGanhouEnvido,tentosEnvido,quemFlor,quemContraFlor,quemContraFlorResto,quemNegouFlor,pontosFlorRobo,pontosFlorHumano,quemGanhouFlor,tentosFlor,quemEscondeuPontosEnvido,quemEscondeuPontosFlor,quemTruco,quandoTruco,quemRetruco,quandoRetruco,quemValeQuatro,quandoValeQuatro,quemNegouTruco,quemGanhouTruco,tentosTruco,tentosAnterioresRobo,tentosAnterioresHumano,tentosPosterioresRobo,tentosPosterioresHumano,quemBaralho,quandoBaralho,quemContraFlorFalta,quemEnvidoEnvido,quemFlorFlor,quandoCartaVirada,naipeCartaAltaRobo,naipeCartaMediaRobo,naipeCartaBaixaRobo,naipeCartaAltaHumano,naipeCartaMediaHumano,naipeCartaBaixaHumano,naipePrimeiraCartaRobo,naipePrimeiraCartaHumano,naipeSegundaCartaRobo,naipeSegundaCartaHumano,naipeTerceiraCartaRobo,naipeTerceiraCartaHumano,quantidadeChamadasHumano,quantidadeChamadasRobo,qualidadeMaoRobo,qualidadeMaoHumano,quantidadeChamadasEnvidoRobo,quantidadeChamadasEnvidoHumano,saldoTruco,saldoEnvido,saldoFlor
4716,1,16,1,1,24,16,4,1,24,16,16,1,4,2,0,2,0,2,0,4,29,1,2,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,2,2,4,13,4,16,0,0,NULL,NULL,NULL,NULL,OURO,BASTOS,ESPADAS,OURO,COPAS,COPAS,ESPADAS,OURO,OURO,COPAS,ESPADAS,COPAS,0,0,0,0,NULL,NULL,-2,-1,NULL
4717,2,24,6,2,0,0,0,-15,0,-15,0,-15,0,2,2,2,0,0,0,28,23,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,2,1,4,16,4,17,0,0,NULL,NULL,NULL,NULL,BASTOS,COPAS,BASTOS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,NULL,NULL,-1,0,NULL
4718,1,16,8,7,0,0,0,7,0,-15,0,-15,0,1,2,2,2,0,0,2,31,1,2,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,2,1,4,17,4,19,0,0,NULL,NULL,NULL,NULL,ESPADAS,BASTOS,OURO,NULL,NULL,NULL,OURO,NULL,NULL,NULL,NULL,NULL,0,0,0,0,NULL,NULL,-1,-1,NULL
4719,2,24,7,6,40,8,4,24,40,6,8,7,4,2,2,1,2,0,0,23,27,1,2,1,0,0,0,0,0,0,0,0,0,0,2,1,1,3,0,0,0,2,3,4,19,7,20,0,0,NULL,NULL,NULL,NULL,OURO,ESPADAS,OURO,OURO,BASTOS,BASTOS,OURO,OURO,OURO,BASTOS,ESPADAS,BASTOS,0,0,0,0,NULL,NULL,-3,-1,NULL
4720,1,24,6,2,0,0,0,2,12,24,6,6,0,2,1,1,2,0,0,5,23,1,2,1,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,1,1,1,7,20,7,22,0,0,NULL,NULL,NULL,NULL,OURO,COPAS,BASTOS,NULL,NULL,NULL,BASTOS,OURO,OURO,BASTOS,COPAS,NULL,0,0,0,0,NULL,NULL,1,-1,NULL
4721,2,16,12,7,0,0,0,-15,0,-15,0,-15,0,2,2,2,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,2,1,7,22,7,23,0,0,NULL,NULL,NULL,NULL,BASTOS,COPAS,ESPADAS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,NULL,NULL,-1,0,NULL
4722,1,8,3,2,0,0,0,8,0,-15,0,-15,0,1,2,2,1,0,2,25,27,1,2,2,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,2,1,7,23,7,24,0,0,NULL,NULL,NULL,NULL,ESPADAS,BASTOS,ESPADAS,NULL,NULL,NULL,ESPADAS,NULL,NULL,NULL,NULL,NULL,0,0,0,0,NULL,NULL,-1,-2,NULL
4723,1,40,12,6,24,2,1,12,24,6,2,40,1,2,1,1,1,0,2,27,27,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,0,0,NULL,NULL,NULL,NULL,OURO,COPAS,OURO,ESPADAS,OURO,ESPADAS,COPAS,ESPADAS,OURO,OURO,OURO,ESPADAS,0,0,0,0,NULL,NULL,1,-2,NULL
4724,2,24,7,2,0,0,0,-46,-46,-46,-46,-46,-46,1,1,1,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,1,1,1,2,2,2,0,0,NULL,NULL,NULL,NULL,COPAS,ESPADAS,BASTOS,NULL,NULL,NULL,NULL,ESPADAS,NULL,NULL,NULL,NULL,0,0,0,0,NULL,NULL,1,0,NULL
4725,1,24,24,7,0,0,0,24,0,-15,0,-15,0,1,2,2,0,0,0,23,32,0,0,0,2,0,0,0,0,33,0,0,0,0,2,1,0,0,0,0,1,2,1,2,2,2,6,0,0,NULL,NULL,NULL,NULL,COPAS,ESPADAS,COPAS,NULL,NULL,NULL,ESPADAS,NULL,NULL,NULL,NULL,NULL,0,0,0,0,NULL,NULL,-1,0,NULL
4726,2,7,3,1,0,0,0,-15,0,-15,0,-15,0,2,2,2,0,0,2,24,30,1,2,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,2,1,2,6,2,8,0,0,NULL,NULL,NULL,NULL,BASTOS,OURO,BASTOS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,NULL,NULL,-1,-1,NULL
4727,1,16,7,1,0,0,0,16,2,7,6,-15,-46,1,1,2,2,0,0,24,25,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,8,3,9,0,0,NULL,NULL,NULL,NULL,ESPADAS,OURO,OURO,NULL,NULL,NULL,ESPADAS,OURO,OURO,OURO,NULL,NULL,0,0,0,0,NULL,NULL,1,-1,NULL
4728,2,3,2,1,0,0,0,-15,0,-15,0,-15,0,2,2,2,2,0,0,6,24,1,2,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,2,1,3,9,3,11,0,0,NULL,NULL,NULL,NULL,OURO,BASTOS,ESPADAS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,NULL,NULL,-1,-1,NULL
4729,1,3,2,1,0,0,0,3,16,-15,-15,-15,-15,2,2,2,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,2,1,3,11,3,12,0,0,NULL,NULL,NULL,NULL,OURO,COPAS,BASTOS,NULL,NULL,NULL,OURO,BASTOS,NULL,NULL,NULL,NULL,0,0,0,0,NULL,NULL,-1,0,NULL
4730,2,42,40,16,0,0,0,16,1,40,24,-15,-46,1,1,2,0,2,0,7,29,1,2,1,0,0,0,0,0,0,0,0,0,0,1,2,2,2,0,0,0,1,3,3,12,6,13,0,0,NULL,NULL,NULL,NULL,ESPADAS,OURO,BASTOS,NULL,NULL,NULL,BASTOS,BASTOS,OURO,ESPADAS,NULL,NULL,0,0,0,0,NULL,NULL,3,-1,NULL
4731,1,16,7,1,0,0,0,16,0,-15,0,-15,0,1,2,2,1,0,2,22,27,1,2,2,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,2,1,6,13,6,16,0,0,NULL,NULL,NULL,NULL,COPAS,COPAS,OURO,NULL,NULL,NULL,COPAS,NULL,NULL,NULL,NULL,NULL,0,0,0,0,NULL,NULL,-1,-2,NULL
4732,2,8,8,7,0,0,0,7,16,-15,-15,-15,-15,2,2,2,0,2,0,20,29,1,2,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,2,1,6,16,6,18,0,0,NULL,NULL,NULL,NULL,BASTOS,ESPADAS,BASTOS,NULL,NULL,NULL,BASTOS,OURO,NULL,NULL,NULL,NULL,0,0,0,0,NULL,NULL,-1,-1,NULL
4733,1,40,7,1,12,6,3,1,12,7,6,40,3,2,1,1,1,0,0,24,21,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,18,9,18,0,0,NULL,NULL,NULL,NULL,OURO,COPAS,COPAS,OURO,OURO,ESPADAS,COPAS,OURO,COPAS,OURO,OURO,ESPADAS,0,0,0,0,NULL,NULL,1,2,NULL
4734,2,16,8,1,0,0,0,1,24,-15,-15,-15,-15,2,2,2,0,0,1,26,6,2,1,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,2,1,9,18,10,19,0,0,NULL,NULL,NULL,NULL,COPAS,ESPADAS,COPAS,NULL,NULL,NULL,COPAS,OURO,NULL,NULL,NULL,NULL,0,0,0,0,NULL,NULL,-1,1,NULL
4735,1,12,4,2,0,0,0,12,0,-15,0,-15,0,1,2,2,1,0,2,28,33,1,2,2,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,2,1,10,19,10,22,0,0,NULL,NULL,NULL,NULL,COPAS,COPAS,ESPADAS,NULL,NULL,NULL,COPAS,NULL,NULL,NULL,NULL,NULL,0,0,0,0,NULL,NULL,-1,-2,NULL
4736,2,6,2,1,0,0,0,-15,0,-15,0,-15,0,2,2,2,2,0,1,29,25,2,1,2,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,2,1,10,22,12,23,0,0,NULL,NULL,NULL,NULL,BASTOS,OURO,OURO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,NULL,NULL,-1,2,NULL
