idMao,jogadorMao,cartaAltaRobo,cartaMediaRobo,cartaBaixaRobo,cartaAltaHumano,cartaMediaHumano,cartaBaixaHumano,primeiraCartaRobo,primeiraCartaHumano,segundaCartaRobo,segundaCartaHumano,terceiraCartaRobo,terceiraCartaHumano,ganhadorPrimeiraRodada,ganhadorSegundaRodada,ganhadorTerceiraRodada,quemPediuEnvido,quemPediuFaltaEnvido,quemPediuRealEnvido,pontosEnvidoRobo,pontosEnvidoHumano,quemNegouEnvido,quemGanhouEnvido,tentosEnvido,quemFlor,quemContraFlor,quemContraFlorResto,quemNegouFlor,pontosFlorRobo,pontosFlorHumano,quemGanhouFlor,tentosFlor,quemEscondeuPontosEnvido,quemEscondeuPontosFlor,quemTruco,quandoTruco,quemRetruco,quandoRetruco,quemValeQuatro,quandoValeQuatro,quemNegouTruco,quemGanhouTruco,tentosTruco,tentosAnterioresRobo,tentosAnterioresHumano,tentosPosterioresRobo,tentosPosterioresHumano,quemBaralho,quandoBaralho,quemContraFlorFalta,quemEnvidoEnvido,quemFlorFlor,quandoCartaVirada,naipeCartaAltaRobo,naipeCartaMediaRobo,naipeCartaBaixaRobo,naipeCartaAltaHumano,naipeCartaMediaHumano,naipeCartaBaixaHumano,naipePrimeiraCartaRobo,naipePrimeiraCartaHumano,naipeSegundaCartaRobo,naipeSegundaCartaHumano,naipeTerceiraCartaRobo,naipeTerceiraCartaHumano,quantidadeChamadasHumano,quantidadeChamadasRobo,qualidadeMaoRobo,qualidadeMaoHumano,quantidadeChamadasEnvidoRobo,quantidadeChamadasEnvidoHumano,saldoTruco,saldoEnvido,saldoFlor
1,2,52,8,2,50,16,16,52,16,2,16,-15,1,1,2,-130,1,0,0,5,2,2,1,1,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,2,0,0,0,0,1,2,1,2,0,3,1,0,0,NULL,NULL,0,0,ESPADAS,BASTOS,COPAS,BASTOS,OURO,BASTOS,ESPADAS,COPAS,COPAS,OURO,NULL,NULL,1,0,62,82,1,0,-1,1,NULL
2,1,24,16,4,7,6,4,16,4,4,7,-46,6,1,2,1,1,0,0,29,7,2,1,1,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,3,0,0,0,0,2,1,1,3,1,5,1,0,0,NULL,NULL,0,0,OURO,COPAS,COPAS,COPAS,ESPADAS,COPAS,COPAS,BASTOS,COPAS,COPAS,NULL,ESPADAS,0,1,44,17,1,0,1,1,NULL
3,2,12,8,4,42,16,1,4,1,8,16,-15,1,1,2,-130,2,0,1,27,7,0,2,5,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,2,0,0,0,0,1,2,1,5,1,5,7,0,0,NULL,NULL,0,0,OURO,COPAS,COPAS,ESPADAS,BASTOS,ESPADAS,COPAS,ESPADAS,COPAS,BASTOS,NULL,NULL,1,0,24,59,0,1,-1,-5,NULL
4,1,24,4,1,24,8,6,24,6,1,8,-15,1,1,2,-130,1,0,0,31,3,2,1,1,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,2,0,0,0,0,1,2,1,5,7,6,8,0,0,NULL,NULL,0,0,ESPADAS,COPAS,COPAS,OURO,COPAS,OURO,ESPADAS,BASTOS,COPAS,COPAS,NULL,NULL,1,0,29,38,1,0,-1,1,NULL
5,2,50,12,3,7,6,4,12,4,3,6,-46,7,1,2,1,2,0,0,6,7,1,2,1,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,3,0,0,0,0,2,1,1,6,8,7,9,0,0,NULL,NULL,0,0,BASTOS,COPAS,ESPADAS,ESPADAS,BASTOS,ESPADAS,COPAS,BASTOS,ESPADAS,BASTOS,NULL,ESPADAS,0,1,65,17,0,1,1,-1,NULL
6,1,16,16,2,40,6,1,16,1,2,6,-10,40,-10,2,2,2,0,0,5,31,1,2,1,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,2,0,0,0,0,0,2,2,7,9,7,12,1,2,NULL,NULL,0,0,OURO,ESPADAS,COPAS,OURO,OURO,OURO,ESPADAS,BASTOS,COPAS,OURO,NULL,OURO,1,0,34,47,0,1,-2,-1,NULL
7,2,24,2,1,24,7,2,24,2,1,7,-15,1,1,2,-130,1,0,0,29,5,2,1,1,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,2,0,0,0,0,1,2,1,7,12,8,13,0,0,NULL,NULL,0,0,ESPADAS,OURO,OURO,OURO,ESPADAS,OURO,ESPADAS,ESPADAS,OURO,ESPADAS,NULL,NULL,1,0,27,33,1,0,-1,1,NULL
8,1,16,6,3,12,6,3,6,12,16,3,3,6,2,1,2,1,0,0,6,27,2,1,1,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,2,1,8,13,9,14,0,0,NULL,NULL,0,0,BASTOS,COPAS,BASTOS,OURO,OURO,OURO,COPAS,OURO,BASTOS,ESPADAS,BASTOS,OURO,0,0,25,21,1,0,-1,1,NULL
9,2,16,8,7,4,3,2,7,2,8,3,-46,NULL,1,1,1,0,0,0,22,38,0,0,0,2,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,1,1,9,14,10,17,0,0,NULL,NULL,0,0,ESPADAS,ESPADAS,COPAS,BASTOS,BASTOS,BASTOS,COPAS,BASTOS,ESPADAS,BASTOS,NULL,NULL,0,0,31,9,0,0,1,1,NULL
10,1,7,4,3,16,12,6,7,12,-10,6,-10,0,2,2,2,1,0,0,27,2,2,1,1,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,2,1,10,17,11,18,1,1,NULL,NULL,0,0,COPAS,COPAS,OURO,COPAS,OURO,COPAS,COPAS,OURO,NULL,ESPADAS,NULL,NULL,0,0,14,34,1,0,-1,1,NULL
11,2,8,3,1,7,2,1,-46,1,-46,1,-46,1,1,1,1,0,0,0,26,5,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,1,1,11,18,12,18,2,1,NULL,NULL,0,0,OURO,OURO,ESPADAS,COPAS,ESPADAS,COPAS,NULL,NULL,NULL,NULL,NULL,NULL,0,0,12,10,0,0,1,1,NULL
12,1,42,16,2,24,16,7,16,24,42,7,-15,1,2,1,2,1,0,0,27,3,2,1,1,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,3,0,0,0,0,1,2,1,12,18,13,19,0,0,NULL,NULL,0,0,ESPADAS,OURO,OURO,ESPADAS,BASTOS,ESPADAS,OURO,ESPADAS,ESPADAS,BASTOS,OURO,NULL,1,0,60,47,1,0,-1,1,NULL
13,2,50,24,12,2,1,1,-46,1,-46,1,-46,1,1,1,1,2,0,0,3,33,1,2,1,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,1,1,13,19,14,20,2,1,NULL,NULL,0,0,BASTOS,OURO,COPAS,ESPADAS,ESPADAS,ESPADAS,NULL,NULL,NULL,NULL,NULL,NULL,0,0,86,4,0,1,1,-1,NULL
14,1,42,24,8,24,16,1,24,24,42,1,-46,1,0,1,1,2,0,0,23,4,0,2,2,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,0,0,0,0,1,2,14,20,16,22,2,1,NULL,NULL,0,0,ESPADAS,BASTOS,BASTOS,COPAS,ESPADAS,COPAS,BASTOS,COPAS,ESPADAS,NULL,NULL,NULL,0,1,74,41,0,1,2,-2,NULL
15,2,24,6,1,8,7,3,6,3,1,7,-46,8,1,2,1,1,0,0,4,6,2,1,1,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,3,0,0,0,0,2,1,1,16,22,18,22,0,0,NULL,NULL,0,0,COPAS,ESPADAS,BASTOS,OURO,BASTOS,OURO,ESPADAS,COPAS,BASTOS,BASTOS,NULL,OURO,0,1,31,18,1,0,1,1,NULL
16,1,50,16,1,24,24,8,16,24,50,8,-15,1,2,1,2,0,0,0,4,3,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,3,0,0,0,0,1,2,1,18,22,18,23,0,0,NULL,NULL,0,0,BASTOS,ESPADAS,COPAS,BASTOS,ESPADAS,BASTOS,ESPADAS,ESPADAS,BASTOS,OURO,COPAS,NULL,1,0,67,56,0,0,-1,1,NULL
17,1,24,8,8,8,4,3,8,3,-46,1,-46,1,1,1,1,1,0,0,3,7,2,1,1,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,0,0,0,2,1,1,0,0,2,0,0,0,NULL,NULL,0,0,ESPADAS,COPAS,ESPADAS,BASTOS,COPAS,BASTOS,COPAS,ESPADAS,NULL,NULL,NULL,NULL,0,1,40,15,1,0,1,1,NULL
18,2,16,12,8,8,6,1,16,1,-46,1,-46,1,1,1,1,0,0,0,2,24,0,0,0,2,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,0,0,0,2,1,1,2,0,3,3,0,0,NULL,NULL,0,0,ESPADAS,COPAS,OURO,ESPADAS,ESPADAS,ESPADAS,ESPADAS,ESPADAS,NULL,NULL,NULL,NULL,0,1,36,15,0,0,1,1,NULL
19,1,16,8,4,24,8,7,16,24,8,7,-15,1,2,1,2,1,0,0,22,3,0,2,2,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,3,0,0,0,0,1,2,1,3,3,3,6,0,0,NULL,NULL,0,0,OURO,OURO,COPAS,OURO,COPAS,OURO,OURO,OURO,OURO,OURO,COPAS,NULL,1,0,28,39,1,0,-1,-2,NULL
20,2,7,6,1,42,7,6,7,6,6,7,-15,1,1,2,-130,1,0,0,4,7,2,1,1,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,2,0,0,0,0,1,2,1,3,6,4,7,0,0,NULL,NULL,0,0,ESPADAS,OURO,ESPADAS,ESPADAS,COPAS,ESPADAS,ESPADAS,BASTOS,OURO,COPAS,NULL,NULL,1,0,14,55,1,0,-1,1,NULL
21,1,8,7,2,16,6,2,8,2,7,1,-46,1,1,1,1,1,0,0,5,27,2,1,1,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,1,1,4,7,6,7,2,1,NULL,NULL,0,0,ESPADAS,COPAS,ESPADAS,ESPADAS,ESPADAS,ESPADAS,ESPADAS,COPAS,COPAS,NULL,NULL,NULL,0,0,17,24,1,0,1,1,NULL
22,2,50,6,3,42,6,1,3,1,6,42,-46,1,1,1,1,2,0,0,6,7,1,2,1,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,2,0,0,0,0,0,1,2,6,7,8,8,2,2,NULL,NULL,0,0,BASTOS,OURO,ESPADAS,ESPADAS,COPAS,ESPADAS,ESPADAS,ESPADAS,OURO,ESPADAS,NULL,NULL,1,0,59,49,0,1,2,-1,NULL
23,1,40,12,6,52,24,7,6,7,12,-1,40,52,2,1,2,1,0,0,28,3,2,1,1,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,3,0,0,0,0,0,2,2,8,8,9,10,0,0,NULL,NULL,0,0,OURO,OURO,COPAS,ESPADAS,COPAS,ESPADAS,COPAS,OURO,OURO,NULL,OURO,ESPADAS,1,0,58,83,1,0,-2,1,NULL
24,2,50,16,16,6,3,1,16,1,16,1,-46,1,1,1,1,0,0,0,2,30,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,1,1,9,10,10,10,2,1,NULL,NULL,0,0,BASTOS,COPAS,ESPADAS,BASTOS,BASTOS,BASTOS,ESPADAS,OURO,COPAS,NULL,NULL,NULL,0,0,82,10,0,0,1,1,NULL
25,1,16,7,2,40,8,1,16,1,7,8,-15,1,1,2,-130,1,0,0,5,7,2,1,1,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1,2,2,0,0,1,2,2,10,10,11,12,0,0,NULL,NULL,0,0,ESPADAS,OURO,ESPADAS,OURO,BASTOS,OURO,ESPADAS,BASTOS,OURO,BASTOS,NULL,NULL,0,1,25,49,1,0,-2,1,NULL
26,2,16,6,2,8,7,6,6,6,-46,7,-46,1,0,1,1,1,0,0,22,20,2,1,1,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,2,0,0,0,0,2,1,1,11,12,13,12,0,0,NULL,NULL,0,0,ESPADAS,ESPADAS,COPAS,ESPADAS,ESPADAS,ESPADAS,ESPADAS,BASTOS,NULL,ESPADAS,NULL,NULL,0,1,24,21,1,0,1,1,NULL
27,1,16,8,3,3,2,2,16,1,-46,1,-46,1,1,1,1,1,0,2,6,6,1,2,2,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,1,1,13,12,14,14,2,1,NULL,NULL,0,0,OURO,COPAS,ESPADAS,COPAS,BASTOS,COPAS,OURO,NULL,NULL,NULL,NULL,NULL,0,0,27,7,1,0,1,-2,NULL
28,2,52,50,7,24,6,2,50,2,7,24,52,6,1,2,1,0,0,0,21,5,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1,2,2,1,3,0,1,4,14,14,18,14,0,0,NULL,NULL,0,0,ESPADAS,BASTOS,BASTOS,BASTOS,COPAS,BASTOS,BASTOS,OURO,BASTOS,BASTOS,ESPADAS,COPAS,0,1,109,32,0,0,4,-2,NULL
29,1,52,7,7,6,3,1,7,1,-46,1,-46,1,1,1,1,2,0,0,21,30,1,2,1,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,1,1,18,14,19,15,2,1,NULL,NULL,0,0,ESPADAS,ESPADAS,BASTOS,COPAS,COPAS,COPAS,BASTOS,NULL,NULL,NULL,NULL,NULL,0,0,66,10,0,1,1,-1,NULL
30,2,50,4,3,52,16,2,3,2,4,16,50,52,1,2,2,2,0,0,28,5,0,1,2,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,2,1,2,2,2,0,2,4,19,15,21,19,0,0,NULL,NULL,0,0,BASTOS,BASTOS,COPAS,ESPADAS,BASTOS,ESPADAS,COPAS,BASTOS,BASTOS,BASTOS,BASTOS,ESPADAS,1,0,57,70,0,1,-4,2,NULL
31,1,8,7,2,16,12,4,8,12,-46,1,-15,1,-130,-130,-130,2,0,0,5,7,1,2,1,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,1,0,0,0,0,1,2,1,0,0,0,2,0,0,NULL,NULL,0,0,COPAS,ESPADAS,BASTOS,OURO,COPAS,OURO,COPAS,COPAS,NULL,NULL,NULL,NULL,1,0,17,32,0,1,-1,-1,NULL
32,2,52,24,2,12,7,3,24,3,2,7,52,12,1,2,1,2,0,0,5,6,1,2,1,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,3,0,0,0,0,0,1,2,0,2,2,3,0,0,NULL,NULL,0,0,ESPADAS,OURO,COPAS,COPAS,OURO,COPAS,OURO,OURO,COPAS,OURO,ESPADAS,COPAS,0,1,78,22,0,1,2,-1,NULL
33,1,16,7,2,24,3,3,16,24,7,3,-15,1,2,1,2,2,0,0,5,6,1,2,1,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,3,0,0,0,0,1,2,1,2,3,2,5,0,0,NULL,NULL,0,0,ESPADAS,BASTOS,COPAS,COPAS,OURO,COPAS,ESPADAS,COPAS,BASTOS,COPAS,COPAS,NULL,1,0,25,30,0,1,-1,-1,NULL
34,1,16,7,2,24,6,2,16,24,2,2,-15,NULL,2,0,2,2,0,0,5,5,1,2,1,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,2,1,5,5,5,7,0,0,NULL,NULL,0,0,BASTOS,ESPADAS,OURO,BASTOS,ESPADAS,BASTOS,BASTOS,BASTOS,OURO,BASTOS,NULL,NULL,0,0,25,32,0,1,-1,-1,NULL
35,2,24,16,3,12,3,1,16,12,3,3,-46,NULL,1,0,1,2,0,0,6,6,1,2,1,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,1,1,5,7,6,8,0,0,NULL,NULL,0,0,COPAS,BASTOS,ESPADAS,OURO,COPAS,OURO,BASTOS,OURO,ESPADAS,COPAS,NULL,NULL,0,0,43,16,0,1,1,-1,NULL
36,1,24,3,1,24,16,2,24,24,-10,0,-10,0,0,2,2,0,0,0,29,5,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,2,1,6,8,6,9,1,1,NULL,NULL,0,0,COPAS,COPAS,ESPADAS,ESPADAS,BASTOS,ESPADAS,COPAS,ESPADAS,NULL,NULL,NULL,NULL,0,0,28,42,0,0,-1,-1,NULL
37,2,16,3,2,50,8,3,3,3,-46,1,-15,1,0,-130,-130,1,0,0,31,6,0,1,2,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,1,0,0,0,0,1,2,1,6,9,8,10,0,0,NULL,NULL,0,0,ESPADAS,COPAS,COPAS,BASTOS,COPAS,BASTOS,COPAS,BASTOS,NULL,NULL,NULL,NULL,1,0,21,61,1,0,-1,2,NULL
38,1,24,4,1,24,8,2,24,2,4,8,-15,1,1,2,-130,0,0,0,31,5,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,2,0,0,0,0,1,2,1,8,10,8,11,0,0,NULL,NULL,0,0,BASTOS,COPAS,COPAS,OURO,ESPADAS,OURO,BASTOS,COPAS,COPAS,ESPADAS,NULL,NULL,1,0,29,34,0,0,-1,2,NULL
39,2,42,40,8,50,2,1,-46,1,-46,1,-46,1,1,1,1,1,0,0,7,5,0,2,2,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,0,0,0,2,1,1,8,11,9,13,0,0,NULL,NULL,0,0,ESPADAS,OURO,ESPADAS,BASTOS,COPAS,BASTOS,NULL,COPAS,NULL,NULL,NULL,NULL,0,1,90,53,1,0,1,-2,NULL
40,1,42,8,2,12,7,6,2,6,42,12,8,7,2,1,1,0,0,0,7,1,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,1,1,9,13,10,13,0,0,NULL,NULL,0,0,ESPADAS,COPAS,OURO,COPAS,OURO,COPAS,OURO,BASTOS,ESPADAS,COPAS,COPAS,OURO,0,0,52,25,0,0,1,-2,NULL
41,2,24,8,7,42,6,2,7,2,8,42,24,6,1,2,1,0,0,0,3,32,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,3,0,0,0,0,0,1,2,10,13,12,13,0,0,NULL,NULL,0,0,OURO,BASTOS,COPAS,ESPADAS,ESPADAS,ESPADAS,COPAS,OURO,BASTOS,ESPADAS,OURO,ESPADAS,0,1,39,50,0,0,2,-2,NULL
42,1,7,3,1,8,7,2,7,8,1,7,-15,NULL,2,2,2,0,0,0,6,5,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,2,1,12,13,12,14,0,0,NULL,NULL,0,0,OURO,COPAS,OURO,COPAS,ESPADAS,COPAS,OURO,COPAS,OURO,ESPADAS,NULL,NULL,0,0,11,17,0,0,-1,-2,NULL
43,2,24,24,6,16,4,2,6,2,24,16,-46,NULL,1,1,1,0,0,0,3,7,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,0,0,0,0,1,2,12,14,14,14,0,0,NULL,NULL,0,0,BASTOS,OURO,COPAS,OURO,COPAS,OURO,COPAS,OURO,OURO,OURO,NULL,NULL,0,1,54,22,0,0,2,-2,NULL
44,1,24,7,3,42,8,3,24,42,7,3,3,8,2,1,2,2,0,0,26,7,1,2,1,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,2,0,0,0,0,0,2,2,14,14,14,17,0,0,NULL,NULL,0,0,OURO,BASTOS,BASTOS,ESPADAS,COPAS,ESPADAS,OURO,ESPADAS,BASTOS,ESPADAS,BASTOS,COPAS,0,1,34,53,0,1,-2,-1,NULL
45,2,8,6,2,12,7,1,8,7,6,12,-46,1,1,1,1,0,0,0,20,4,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,2,1,3,0,0,2,1,2,14,17,16,17,0,0,NULL,NULL,0,0,ESPADAS,ESPADAS,COPAS,COPAS,ESPADAS,COPAS,ESPADAS,ESPADAS,ESPADAS,COPAS,NULL,COPAS,1,0,16,20,0,0,2,-1,NULL
46,1,12,7,6,16,4,3,12,16,6,3,7,4,2,1,1,2,0,0,20,35,1,2,1,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,1,1,16,17,17,18,0,0,NULL,NULL,0,0,OURO,BASTOS,BASTOS,COPAS,COPAS,COPAS,OURO,COPAS,BASTOS,ESPADAS,BASTOS,COPAS,0,0,25,23,0,1,1,-1,NULL
47,2,12,8,3,7,1,1,3,1,12,7,-46,NULL,1,1,1,0,0,0,27,4,0,0,0,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,1,1,17,18,21,18,0,0,NULL,NULL,0,0,COPAS,COPAS,COPAS,ESPADAS,COPAS,ESPADAS,COPAS,COPAS,COPAS,ESPADAS,NULL,NULL,0,0,23,9,0,0,1,-1,NULL
48,1,8,2,1,42,24,7,1,0,-46,1,-15,1,-130,-130,-130,0,0,0,5,7,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,1,0,0,0,0,1,2,1,0,0,0,1,0,0,NULL,NULL,0,0,COPAS,ESPADAS,BASTOS,ESPADAS,BASTOS,ESPADAS,BASTOS,NULL,NULL,NULL,NULL,NULL,1,0,11,73,0,0,-1,-1,NULL
49,2,7,4,1,3,2,1,4,3,1,1,-46,1,1,1,1,2,0,1,31,6,0,1,5,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,1,1,0,1,6,1,2,1,NULL,NULL,0,0,OURO,COPAS,COPAS,ESPADAS,BASTOS,ESPADAS,COPAS,ESPADAS,COPAS,NULL,NULL,NULL,0,0,12,6,0,1,1,5,NULL
50,1,8,3,1,16,6,2,8,16,-10,6,-10,0,2,2,2,0,0,0,30,5,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,2,1,6,1,6,2,1,1,NULL,NULL,0,0,ESPADAS,OURO,OURO,OURO,BASTOS,OURO,ESPADAS,OURO,NULL,BASTOS,NULL,NULL,0,0,12,24,0,0,-1,5,NULL
51,2,12,2,2,8,6,3,12,8,2,3,-15,1,1,2,-130,0,0,0,26,6,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,2,0,0,0,0,1,2,1,6,2,6,3,0,0,NULL,NULL,0,0,COPAS,COPAS,BASTOS,COPAS,BASTOS,COPAS,COPAS,COPAS,COPAS,OURO,NULL,NULL,1,0,16,17,0,0,-1,5,NULL
52,2,24,12,6,16,4,3,6,4,12,16,24,3,1,2,1,0,0,0,3,7,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,2,0,0,0,0,0,1,2,9,4,11,4,0,0,NULL,NULL,0,0,ESPADAS,OURO,BASTOS,OURO,COPAS,OURO,BASTOS,COPAS,OURO,OURO,ESPADAS,BASTOS,1,0,42,23,0,0,2,3,NULL
53,1,16,8,8,24,7,1,8,24,8,7,-46,1,2,1,1,2,0,0,22,4,1,2,1,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,2,0,0,0,0,2,1,1,11,4,12,5,0,0,NULL,NULL,0,0,ESPADAS,ESPADAS,COPAS,ESPADAS,BASTOS,ESPADAS,COPAS,ESPADAS,ESPADAS,BASTOS,NULL,NULL,0,1,32,32,0,1,1,-1,NULL
54,2,8,7,1,24,4,2,1,24,7,4,8,1,2,1,1,2,0,0,4,35,1,2,1,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,1,1,12,5,13,6,2,2,NULL,NULL,0,0,ESPADAS,OURO,BASTOS,COPAS,COPAS,COPAS,BASTOS,COPAS,OURO,COPAS,ESPADAS,NULL,0,0,16,30,0,1,1,-1,NULL
55,1,50,12,1,40,3,2,1,2,12,3,50,40,2,1,1,0,0,0,4,38,0,0,0,2,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,2,0,0,0,0,0,1,2,13,6,15,9,0,0,NULL,NULL,0,0,BASTOS,COPAS,OURO,OURO,OURO,OURO,OURO,OURO,COPAS,OURO,BASTOS,OURO,0,1,63,45,0,0,2,-1,NULL
56,2,42,24,8,52,16,7,8,7,24,52,42,16,1,2,1,1,0,0,7,2,2,1,1,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,0,0,0,0,1,2,15,9,18,9,0,0,NULL,NULL,0,0,ESPADAS,COPAS,ESPADAS,ESPADAS,BASTOS,ESPADAS,ESPADAS,OURO,COPAS,ESPADAS,ESPADAS,BASTOS,0,1,74,75,1,0,2,1,NULL
57,1,24,16,16,8,6,2,16,2,-46,1,-46,1,1,1,1,0,0,2,3,5,1,2,1,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,0,0,0,2,1,1,18,9,19,10,0,0,NULL,NULL,0,0,BASTOS,ESPADAS,BASTOS,ESPADAS,BASTOS,ESPADAS,BASTOS,COPAS,NULL,NULL,NULL,NULL,0,1,56,16,0,1,1,-1,NULL
58,2,16,16,3,24,12,1,3,24,16,12,16,1,2,1,1,0,0,0,6,28,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,2,2,2,0,0,0,1,3,19,10,22,10,0,0,NULL,NULL,0,0,ESPADAS,BASTOS,ESPADAS,OURO,OURO,OURO,ESPADAS,OURO,ESPADAS,OURO,BASTOS,ESPADAS,0,1,35,37,0,0,3,-1,NULL
59,2,16,2,1,16,8,7,1,0,-46,1,-15,1,-130,-130,-130,2,0,0,5,2,1,2,1,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,1,0,0,0,0,1,2,1,27,11,0,2,0,0,NULL,NULL,0,0,BASTOS,ESPADAS,OURO,COPAS,ESPADAS,COPAS,OURO,NULL,NULL,NULL,NULL,NULL,1,0,19,31,0,1,-1,-1,NULL
60,1,24,7,1,52,50,2,24,50,7,2,-15,1,2,1,2,2,0,0,4,5,1,2,1,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,2,2,3,0,0,1,2,2,0,0,0,3,0,0,NULL,NULL,0,0,BASTOS,OURO,ESPADAS,ESPADAS,BASTOS,ESPADAS,BASTOS,BASTOS,OURO,BASTOS,ESPADAS,NULL,0,1,32,104,0,1,-2,-1,NULL
61,2,24,8,6,24,6,1,6,1,24,24,-46,NULL,1,0,1,0,0,0,3,27,0,0,0,2,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,0,0,0,0,1,2,0,3,2,6,0,0,NULL,NULL,0,0,ESPADAS,COPAS,OURO,COPAS,COPAS,COPAS,OURO,COPAS,ESPADAS,COPAS,NULL,NULL,0,1,38,31,0,0,2,-1,NULL
62,1,6,3,1,24,12,8,6,8,-10,12,-10,0,2,2,2,0,0,0,6,3,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,2,1,2,6,2,7,1,1,NULL,NULL,0,0,BASTOS,ESPADAS,OURO,BASTOS,COPAS,BASTOS,BASTOS,OURO,NULL,COPAS,NULL,NULL,0,0,10,44,0,0,-1,-1,NULL
